NDays,Month,"DC04","SC2","SC3","SC4","Load test","CSA06","Production","Debug","Total Data"
31,"2004-01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,"2004-02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,"2004-03",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
30,"2004-04",20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
31,"2004-05",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,"2004-06",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,"2004-07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,"2004-08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,"2004-09",0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
31,"2004-10",0.00,0.00,0.00,0.00,0.00,0.00,2.57,0.00,2.57
30,"2004-11",0.00,0.00,0.00,0.00,0.00,0.00,11.26,0.00,11.26
31,"2004-12",0.00,0.00,0.00,0.00,0.00,0.00,14.51,0.00,14.51
31,"2005-01",0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,5.06
28,"2005-02",0.00,0.00,0.00,0.00,0.00,0.00,3.37,0.00,3.37
31,"2005-03",0.00,57.00,0.00,0.00,0.00,0.00,5.64,0.00,62.64
30,"2005-04",0.00,0.00,0.00,0.00,0.00,0.00,12.73,0.00,12.73
31,"2005-05",0.00,0.00,0.00,0.00,0.00,0.00,6.14,0.00,6.14
30,"2005-06",0.00,0.00,0.00,0.00,0.00,0.00,9.78,0.00,9.78
31,"2005-07",0.00,0.00,0.00,0.00,0.00,0.00,3.26,0.00,3.26
31,"2005-08",0.00,0.00,0.00,0.00,0.00,0.00,8.68,0.00,8.68
30,"2005-09",0.00,0.00,26.82,0.00,0.00,0.00,5.79,0.00,32.61
31,"2005-10",0.00,0.00,105.86,0.00,0.00,0.00,14.31,0.00,120.17
30,"2005-11",0.00,0.00,135.51,0.00,0.00,0.00,38.31,0.00,173.82
31,"2005-12",0.00,0.00,21.63,0.00,0.00,0.00,47.49,0.00,69.12
31,"2006-01",0.00,0.00,0.00,0.00,0.00,0.00,21.90,0.00,21.90
28,"2006-02",0.00,0.00,0.00,0.00,0.00,0.00,15.52,0.00,15.52
31,"2006-03",0.00,0.00,0.00,0.00,0.00,0.00,32.14,0.00,32.14
30,"2006-04",0.00,0.00,0.00,9.11,0.00,0.00,34.22,0.00,43.33
31,"2006-05",0.00,0.00,0.00,242.65,0.00,0.00,10.59,0.00,253.24
30,"2006-06",0.00,0.00,0.00,1255.48,0.00,0.00,0.00,0.00,1255.48
31,"2006-07",0.00,0.00,0.00,1454.72,0.00,0.00,2.27,0.00,1456.99
31,"2006-08",0.00,0.00,0.00,653.48,0.00,0.00,53.01,0.00,706.49
30,"2006-09",0.00,0.00,0.00,805.15,0.00,116.29,0.00,0.00,921.44
31,"2006-10",0.00,0.00,0.00,54.64,0.00,1372.28,0.00,0.00,1426.92
30,"2006-11",0.00,0.00,0.00,0.00,0.00,345.19,0.00,0.00,345.19
31,"2006-12",0.00,0.00,0.00,167.39,0.00,0.00,113.67,0.00,281.06
31,"2007-01",0.00,0.00,0.00,792.83,0.00,0.00,81.90,0.00,874.73
28,"2007-02",0.00,0.00,0.00,536.43,32.78,0.00,193.15,0.00,762.36
31,"2007-03",0.00,0.00,0.00,0.00,1094.99,0.00,226.87,0.00,1321.86
30,"2007-04",0.00,0.00,0.00,0.00,1261.55,0.00,275.20,0.00,1536.75
31,"2007-05",0.00,0.00,0.00,0.00,2233.02,0.00,76.03,0.00,2309.05
30,"2007-06",0.00,0.00,0.00,0.00,2090.35,0.00,103.46,0.00,2193.81
31,"2007-07",0.00,0.00,0.00,0.00,2959.81,0.00,158.80,0.00,3118.61
31,"2007-08",0.00,0.00,0.00,0.00,2306.85,0.00,152.99,255.64,2715.48
30,"2007-09",0.00,0.00,0.00,0.00,0.00,0.00,364.62,2526.11,2890.73
31,"2007-10",0.00,0.00,0.00,0.00,0.00,0.00,711.24,2958.97,3670.21
30,"2007-11",0.00,0.00,0.00,0.00,0.00,0.00,629.07,2970.86,3599.93
31,"2007-12",0.00,0.00,0.00,0.00,0.00,0.00,360.92,2703.46,3064.38
31,"2008-01",0.00,0.00,0.00,0.00,0.00,0.00,371.18,2803.35,3174.53
29,"2008-02",0.00,0.00,0.00,0.00,0.00,0.00,260.50,4374.66,4635.16
31,"2008-03",0.00,0.00,0.00,0.00,0.00,0.00,643.98,4580.84,5224.82
30,"2008-04",0.00,0.00,0.00,0.00,0.00,0.00,337.54,3321.43,3658.97
31,"2008-05",0.00,0.00,0.00,0.00,0.00,0.00,1626.34,2107.45,3733.79
30,"2008-06",0.00,0.00,0.00,0.00,0.00,0.00,984.15,2209.48,3193.63
31,"2008-07",0.00,0.00,0.00,0.00,0.00,0.00,754.52,2539.59,3294.11
31,"2008-08",0.00,0.00,0.00,0.00,0.00,0.00,501.89,1798.04,2299.93
30,"2008-09",0.00,0.00,0.00,0.00,0.00,0.00,487.07,803.64,1290.71
31,"2008-10",0.00,0.00,0.00,0.00,0.00,0.00,1117.68,964.51,2082.19
30,"2008-11",0.00,0.00,0.00,0.00,0.00,0.00,1037.23,1135.96,2173.19
31,"2008-12",0.00,0.00,0.00,0.00,0.00,0.00,583.32,922.66,1505.98
31,"2009-01",0.00,0.00,0.00,0.00,0.00,0.00,862.93,1067.45,1930.38
28,"2009-02",0.00,0.00,0.00,0.00,0.00,0.00,1270.57,1189.07,2459.64
31,"2009-03",0.00,0.00,0.00,0.00,0.00,0.00,909.09,1601.73,2510.82
30,"2009-04",0.00,0.00,0.00,0.00,0.00,0.00,798.49,1968.43,2766.92
31,"2009-05",0.00,0.00,0.00,0.00,0.00,0.00,1295.01,1800.12,3095.13
30,"2009-06",0.00,0.00,0.00,0.00,0.00,0.00,1282.76,1829.21,3111.97
31,"2009-07",0.00,0.00,0.00,0.00,0.00,0.00,501.44,1786.86,2288.30
31,"2009-08",0.00,0.00,0.00,0.00,0.00,0.00,1701.81,1742.22,3444.03
30,"2009-09",0.00,0.00,0.00,0.00,0.00,0.00,1543.86,2390.92,3934.78
31,"2009-10",0.00,0.00,0.00,0.00,0.00,0.00,1961.76,2105.55,4067.31
30,"2009-11",0.00,0.00,0.00,0.00,0.00,0.00,1581.12,1849.67,3430.79
31,"2009-12",0.00,0.00,0.00,0.00,0.00,0.00,1468.57,1934.06,3402.63
31,"2010-01",0.00,0.00,0.00,0.00,0.00,0.00,602.24,2741.86,3344.10
28,"2010-02",0.00,0.00,0.00,0.00,0.00,0.00,1232.95,3377.93,4610.88
31,"2010-03",0.00,0.00,0.00,0.00,0.00,0.00,1232.31,3446.92,4679.23
30,"2010-04",0.00,0.00,0.00,0.00,0.00,0.00,2474.66,3142.36,5617.02
31,"2010-05",0.00,0.00,0.00,0.00,0.00,0.00,3446.22,2737.85,6184.07
30,"2010-06",0.00,0.00,0.00,0.00,0.00,0.00,3164.57,2456.81,5621.38
31,"2010-07",0.00,0.00,0.00,0.00,0.00,0.00,2309.33,3025.36,5334.69
31,"2010-08",0.00,0.00,0.00,0.00,0.00,0.00,1953.72,2846.1,4799.82
30,"2010-09",0.00,0.00,0.00,0.00,0.00,0.00,1345.54,2965.15,4310.69
31,"2010-10",0.00,0.00,0.00,0.00,0.00,0.00,3479.63,3066.85,6546.48
30,"2010-11",0.00,0.00,0.00,0.00,0.00,0.00,3292.09,2580.78,5872.87
31,"2010-12",0.00,0.00,0.00,0.00,0.00,0.00,2233.79,2757.75,4991.54
31,"2011-01",0.00,0.00,0.00,0.00,0.00,0.00,1871.36,2685.26,4556.62
28,"2011-02",0.00,0.00,0.00,0.00,0.00,0.00,1474.18,2517.21,3991.39
31,"2011-03",0.00,0.00,0.00,0.00,0.00,0.00,2164.38,3131.83,5296.21
30,"2011-04",0.00,0.00,0.00,0.00,0.00,0.00,1724.37,2765.09,4489.46
31,"2011-05",0.00,0.00,0.00,0.00,0.00,0.00,2432.25,2569.55,5001.80
30,"2011-06",0.00,0.00,0.00,0.00,0.00,0.00,3118.73,2342,5460.73
